frame,found,track_id,class,confidence,x1,y1,x2,y2,center_x,center_y
72,1,27,motor,0.625,1073,600,1127,694,1100,647
73,1,27,motor,0.642,1074,602,1128,696,1101,649
74,1,27,motor,0.617,1076,607,1129,700,1102,653
75,1,27,motor,0.637,1077,613,1129,703,1103,658
76,1,27,motor,0.654,1078,617,1130,707,1104,662
77,1,27,motor,0.681,1079,620,1130,709,1104,664
78,1,27,motor,0.64,1080,621,1132,711,1106,666
79,1,27,motor,0.555,1080,621,1134,714,1107,667
80,1,27,motor,0.556,1081,621,1136,716,1108,668
81,1,27,motor,0.578,1081,617,1139,719,1110,668
82,1,27,motor,0.55,1082,623,1140,724,1111,673
83,1,27,tricycle,0.464,1083,623,1142,727,1112,675
84,1,27,motor,0.512,1084,628,1142,730,1113,679
85,1,27,motor,0.508,1086,633,1143,733,1114,683
86,1,27,tricycle,0.584,1087,633,1146,736,1116,684
87,1,27,motor,0.312,1089,639,1147,740,1118,689
88,1,27,motor,0.49,1095,655,1146,743,1120,699
89,1,27,motor,0.522,1093,653,1147,745,1120,699
90,1,27,motor,0.475,1093,652,1150,750,1121,701
91,1,27,motor,0.486,1098,664,1151,754,1124,709
92,1,27,motor,0.434,1101,668,1153,758,1127,713
93,1,27,motor,0.302,1099,664,1155,761,1127,712
94,1,27,motor,0.384,1099,667,1154,765,1126,716
95,1,27,motor,0.456,1097,668,1153,767,1125,717
96,1,27,motor,0.318,1098,670,1154,770,1126,720
97,1,27,motor,0.397,1096,671,1155,776,1125,723
98,1,27,motor,0.474,1098,680,1155,781,1126,730
99,1,27,motor,0.535,1096,682,1154,785,1125,733
100,1,27,motor,0.563,1097,688,1154,789,1125,738
101,1,27,motor,0.566,1097,690,1156,795,1126,742
102,1,27,motor,0.609,1096,691,1158,800,1127,745
103,1,27,motor,0.542,1093,682,1161,803,1127,742
104,1,27,motor,0.568,1091,681,1162,807,1126,744
105,1,27,motor,0.54,1090,681,1163,812,1126,746
106,1,27,tricycle,0.558,1089,686,1162,818,1125,752
107,1,27,motor,0.583,1089,686,1163,821,1126,753
108,1,27,motor,0.506,1090,689,1164,825,1127,757
109,1,27,motor,0.495,1092,698,1165,832,1128,765
110,1,27,tricycle,0.316,1094,709,1163,837,1128,773
111,1,27,tricycle,0.303,1094,714,1164,843,1129,778
112,1,27,motor,0.684,1092,714,1165,848,1128,781
