frame,found,track_id,class,confidence,x1,y1,x2,y2,center_x,center_y
344,0,15,motor,,,,,,,
345,0,15,motor,,,,,,,
346,0,15,motor,,,,,,,
347,0,15,motor,,,,,,,
348,0,15,motor,,,,,,,
349,0,15,motor,,,,,,,
350,0,15,motor,,,,,,,
351,0,15,motor,,,,,,,
352,0,15,motor,,,,,,,
353,0,15,motor,,,,,,,
354,0,15,motor,,,,,,,
355,0,15,motor,,,,,,,
356,0,15,motor,,,,,,,
357,0,15,motor,,,,,,,
358,0,15,motor,,,,,,,
359,0,15,motor,,,,,,,
360,0,15,motor,,,,,,,
361,0,15,motor,,,,,,,
362,0,15,motor,,,,,,,
363,0,15,motor,,,,,,,
364,0,15,motor,,,,,,,
365,0,15,motor,,,,,,,
366,0,15,motor,,,,,,,
367,0,15,motor,,,,,,,
368,0,15,motor,,,,,,,
369,0,15,motor,,,,,,,
370,0,15,motor,,,,,,,
371,0,15,motor,,,,,,,
372,0,15,motor,,,,,,,
373,0,15,motor,,,,,,,
374,0,15,motor,,,,,,,
375,0,15,motor,,,,,,,
376,0,15,motor,,,,,,,
377,0,15,motor,,,,,,,
378,0,15,motor,,,,,,,
379,0,15,motor,,,,,,,
380,0,15,motor,,,,,,,
381,0,15,motor,,,,,,,
382,0,15,motor,,,,,,,
383,0,15,motor,,,,,,,
384,0,15,motor,,,,,,,
385,0,15,motor,,,,,,,
386,0,15,motor,,,,,,,
387,0,15,motor,,,,,,,
388,0,15,motor,,,,,,,
389,0,15,motor,,,,,,,
390,0,15,motor,,,,,,,
391,0,15,motor,,,,,,,
392,0,15,motor,,,,,,,
393,0,15,motor,,,,,,,
394,0,15,motor,,,,,,,
395,0,15,motor,,,,,,,
396,0,15,motor,,,,,,,
397,0,15,motor,,,,,,,
398,0,15,motor,,,,,,,
399,0,15,motor,,,,,,,
400,0,15,motor,,,,,,,
401,0,15,motor,,,,,,,
402,0,15,motor,,,,,,,
403,0,15,motor,,,,,,,
404,0,15,motor,,,,,,,
405,0,15,motor,,,,,,,
406,0,15,motor,,,,,,,
407,0,15,motor,,,,,,,
408,0,15,motor,,,,,,,
409,0,15,motor,,,,,,,
410,0,15,motor,,,,,,,
411,0,15,motor,,,,,,,
412,0,15,motor,,,,,,,
413,0,15,motor,,,,,,,
414,0,15,motor,,,,,,,
415,0,15,motor,,,,,,,
416,0,15,motor,,,,,,,
417,0,15,motor,,,,,,,
418,0,15,motor,,,,,,,
419,0,15,motor,,,,,,,
420,0,15,motor,,,,,,,
421,0,15,motor,,,,,,,
422,0,15,motor,,,,,,,
423,0,15,motor,,,,,,,
424,0,15,motor,,,,,,,
425,0,15,motor,,,,,,,
426,0,15,motor,,,,,,,
427,0,15,motor,,,,,,,
428,0,15,motor,,,,,,,
429,0,15,motor,,,,,,,
430,0,15,motor,,,,,,,
431,0,15,motor,,,,,,,
432,0,15,motor,,,,,,,
433,0,15,motor,,,,,,,
434,0,15,motor,,,,,,,
435,0,15,motor,,,,,,,
436,0,15,motor,,,,,,,
437,0,15,motor,,,,,,,
438,0,15,motor,,,,,,,
439,0,15,motor,,,,,,,
440,0,15,motor,,,,,,,
441,0,15,motor,,,,,,,
442,0,15,motor,,,,,,,
443,0,15,motor,,,,,,,
444,0,15,motor,,,,,,,
445,0,15,motor,,,,,,,
446,0,15,motor,,,,,,,
447,0,15,motor,,,,,,,
448,0,15,motor,,,,,,,
449,0,15,motor,,,,,,,
450,0,15,motor,,,,,,,
451,0,15,motor,,,,,,,
452,0,15,motor,,,,,,,
453,0,15,motor,,,,,,,
454,0,15,motor,,,,,,,
455,0,15,motor,,,,,,,
456,0,15,motor,,,,,,,
457,0,15,motor,,,,,,,
458,0,15,motor,,,,,,,
459,0,15,motor,,,,,,,
460,0,15,motor,,,,,,,
461,0,15,motor,,,,,,,
462,0,15,motor,,,,,,,
463,0,15,motor,,,,,,,
464,0,15,motor,,,,,,,
465,0,15,motor,,,,,,,
466,0,15,motor,,,,,,,
467,0,15,motor,,,,,,,
468,0,15,motor,,,,,,,
469,0,15,motor,,,,,,,
470,0,15,motor,,,,,,,
471,0,15,motor,,,,,,,
472,0,15,motor,,,,,,,
473,0,15,motor,,,,,,,
474,0,15,motor,,,,,,,
475,0,15,motor,,,,,,,
476,0,15,motor,,,,,,,
